,product,price_original,price_value,in_cash,installment
926,"Smartphone Samsung Galaxy A12 64 GB - Branco, 4G, Câmera Quadrupla 48MP + Selfie 8MP, Processador Octa-core, RAM 4GB, Tela 6.5""","R$ 1.422,67","R$ 1.280,40",(10% de desconto),"ou 10x de R$ 142,27 sem juros"
927,"Smartphone Samsung Galaxy A03 64GB Preto 4G Octa-Core 4GB RAM Tela 6,5” Câm. Dupla + Sefie 5MP","R$ 2.599,90","R$ 2.079,92",Null,"ou 10x de R$ 207,99 sem juros"
928,"Smartphone Samsung Galaxy M23 128GB Azul 5G Octa-Core 6GB RAM 6,6” Câm. Tripla + Selfie 8MP - Octa-C",Null,"R$ 1.900,00",Null,"ou 10x de R$ 190,00 sem juros"
929,Carregador tomada USB-C de 20w Apple - iPhone/iPad Branco,"R$ 280,00","R$ 158,01",(7% de desconto),Null
930,"Smartphone Samsung Galaxy M23 128GB Verde 5G Octa-Core 6GB RAM 6,6” Câm. Tripla + Selfie 8MP","R$ 1.999,00","R$ 1.399,00",(10% de desconto),"ou 10x de R$ 155,44 sem juros"
931,"Smartphone Samsung Galaxy A03 Core 32GB Cobre Octa-Core 2GB RAM 6,5” Câm. 8MP + Selfie 5MP","R$ 999,00","R$ 749,00",(10% de desconto),"ou 6x de R$ 138,70 sem juros"
932,"Smartphone Samsung Galaxy A03 64GB Preto 4G Octa-Core 4GB RAM Tela 6,5” Câm. Dupla + Sefie 5MP","R$ 1.299,00","R$ 849,00",(10% de desconto),"ou 7x de R$ 134,76 sem juros"
933,"Smartphone Samsung Galaxy A04e 64GB Cobre 4G - Octa-Core 3GB RAM 6,5” Câm. Dupla + Selfie 5MP","R$ 1.999,90","R$ 1.599,92",Null,"ou 10x de R$ 159,99 sem juros"
934,"Apple iPhone 13 128GB Estelar Tela 6,1” 12MP - iOS","R$ 7.599,90","R$ 4.928,99",(7% de desconto),"ou 10x de R$ 530,00 sem juros"
935,"Smartphone Motorola Moto G41 128GB Champagne 4G - Octa-Core 4GB RAM 6,4” Câm. Tripla + Selfie 13MP",Null,"R$ 1.331,70",Null,"ou 10x de R$ 133,17 sem juros"
936,"Smartphone Samsung Galaxy M13 128GB Cobre 4G Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 8MP",Null,"R$ 1.399,00",Null,"ou 10x de R$ 139,90 sem juros"
937,"Smartphone Samsung Galaxy A03 64GB Vermelho 4G Octa-Core 4GB RAM Tela 6,5” Câm. Dupla + Sefie 5MP","R$ 1.299,00","R$ 849,00",(10% de desconto),"ou 7x de R$ 134,76 sem juros"
938,"Smartphone Motorola Moto G32 128GB Rosé 4G Octa-Core 4GB RAM 6,5” Câm. Tripla + Selfie 16MP","R$ 1.599,00","R$ 1.169,10",(10% de desconto),"ou 10x de R$ 129,90 sem juros"
939,"iPhone 11 Apple 128GB Preto 6,1” 12MP iOS","R$ 6.345,90","R$ 3.533,07",(7% de desconto),"ou 10x de R$ 379,90 sem juros"
940,"Smartphone Samsung Galaxy A03 64GB Vermelho 4G Octa-Core 4GB RAM Tela 6,5","R$ 1.999,90","R$ 1.599,92",Null,"ou 10x de R$ 159,99 sem juros"
941,Smartphone Motorola E32 64GB 4GB RAM 4G Câmera Tripla + Selfie 8MP Tela 6.5'' Rose,"R$ 1.090,00","R$ 981,00",(10% de desconto),"ou 10x de R$ 109,00 sem juros"
942,"Smartphone Samsung Galaxy M23 128GB Azul 5G Octa-Core 6GB RAM 6,6” Câm. Tripla + Selfie 8MP","R$ 1.999,00","R$ 1.399,00",(10% de desconto),"ou 10x de R$ 155,44 sem juros"
943,"Smartphone Samsung Galaxy M13 128GB Azul 4G Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 8MP","R$ 2.999,00","R$ 2.399,20",Null,"ou 10x de R$ 239,92 sem juros"
944,"Smartphone Samsung Galaxy M13 128GB Azul 4G - Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 8MP","R$ 3.399,90","R$ 2.719,92",Null,"ou 10x de R$ 271,99 sem juros"
945,"Smartphone Samsung Galaxy A23 128GB Branco 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP","R$ 2.099,99","R$ 1.249,00",(10% de desconto),"ou 10x de R$ 138,78 sem juros"
946,"Smartphone Motorola Moto E32 64GB Azul 4G - Octa-Core 4GB RAM 6,5” Câm. Tripla + Selfie 8MP","R$ 1.799,99","R$ 1.439,99",Null,"ou 10x de R$ 144,00 sem juros"
947,"Smartphone Samsung Galaxy A23 128GB Branco 5G - Octa-Core 4GB RAM 6,6” Câm. Quádrupla + Selfie 8MP","R$ 3.750,00","R$ 2.987,00",Null,"ou 10x de R$ 298,70 sem juros"
948,"Smartphone Samsung Galaxy A23 128GB Azul 5G - Octa-Core 4GB RAM 6,6” Câm. Quádrupla + Selfie 8MP","R$ 3.975,00","R$ 2.997,00",Null,"ou 10x de R$ 299,70 sem juros"
949,"Smartphone Samsung Galaxy A03 Core 32GB Preto Octa-Core 2GB RAM 6,5” Câm. 8MP + Selfie 5MP","R$ 999,00","R$ 749,00",(10% de desconto),"ou 6x de R$ 138,70 sem juros"
950,"Smartphone Motorola Moto G22 128GB Azul 4G - Octa-Core 4GB RAM 6,5” Câm Quádrupla + Selfie 16MP",Null,"R$ 1.815,00",Null,"ou 10x de R$ 181,50 sem juros"
951,"Smartphone Samsung Galaxy M13 128GB Cobre 4G Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 8MP","R$ 1.699,00","R$ 1.079,10",(10% de desconto),"ou 9x de R$ 133,22 sem juros"
952,Smartphone Motorola Moto G22 128GB 4GB RAM Câmera Quádrupla + Selfie 16MP Tela 6.5 Preto,"R$ 1.696,00","R$ 1.436,40",(10% de desconto),"ou 10x de R$ 159,60 sem juros"
953,"Smartphone Samsung Galaxy S20 FE 128GB Cloud White - 4G 6GB RAM Tela 6,5” Câm. Tripla + Selfie 32MP","R$ 4.399,00","R$ 3.797,00",Null,"ou 10x de R$ 379,70 sem juros"
954,"Smartphone Samsung Galaxy A23 128GB Preto 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP",Null,"R$ 1.549,00",Null,"ou 10x de R$ 154,90 sem juros"
955,"Smartphone Samsung Galaxy A23 128GB Preto 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP",Null,"R$ 2.099,00",Null,"ou 10x de R$ 209,90 sem juros"
956,Smartphone Motorola E32 64GB 4GB RAM 4G Câmera Tripla + Selfie 8MP Tela 6.5'' Azul,"R$ 1.129,00","R$ 1.016,10",(10% de desconto),"ou 10x de R$ 112,90 sem juros"
957,"Smartphone Motorola Moto E22 64GB Azul 4G 4GB RAM 6,5” Câm. Dupla + Selfie 5MP Dual Chip","R$ 1.399,00","R$ 989,10",(10% de desconto),"ou 9x de R$ 122,11 sem juros"
958,"Smartphone Samsung Galaxy A23 128GB Azul 5G - Octa-Core 4GB RAM 6,6” Câm. Quádrupla + Selfie 8MP","R$ 4.399,90","R$ 3.519,92",Null,"ou 10x de R$ 351,99 sem juros"
959,"Smartphone Samsung Galaxy A03 Core 32GB Preto Octa-Core 2GB RAM 6,5” Câm. 8MP + Selfie 5MP","R$ 1.999,90","R$ 1.599,92",Null,"ou 10x de R$ 159,99 sem juros"
960,"Smartphone Samsung Galaxy A23 128GB Preto 5G - Octa-Core 4GB RAM 6,6” Câm. Quádrupla + Selfie 8MP",Null,"R$ 3.970,00",Null,"ou 10x de R$ 397,00 sem juros"
961,"Smartphone Motorola Moto G52 128GB Branco 4G Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 16MP","R$ 2.199,00","R$ 1.439,10",(10% de desconto),"ou 10x de R$ 159,90 sem juros"
962,"Smartphone Motorola Moto G22 128GB Preto 4G - Octa-Core 4GB RAM 6,5” Câm Quádrupla + Selfie 16MP","R$ 1.799,00","R$ 1.169,10",(10% de desconto),"ou 10x de R$ 129,90 sem juros"
963,"Smartphone Samsung Galaxy A03 64GB Preto 4G - Octa-Core 4GB RAM Tela 6,5” Câm. Dupla + Sefie 5MP",Null,"R$ 989,90",Null,"ou 10x de R$ 98,99 sem juros"
964,"Smartphone Motorola Moto G31 128GB Grafite 4G Octa-Core 4GB RAM 6,4” Câm. Tripla + Selfie 13MP",Null,"R$ 1.399,99",Null,"ou 10x de R$ 140,00 sem juros"
965,"Smartphone Samsung Galaxy A13 128GB Branco 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP",Null,"R$ 1.449,00",Null,"ou 10x de R$ 144,90 sem juros"
966,"Smartphone Samsung Galaxy S22 Ultra 256GB Vinho 5G - 12GB RAM 6,8” Câm. Quádrupla Snapdragon","R$ 10.499,00","R$ 7.776,00",Null,"ou 10x de R$ 777,60 sem juros"
967,"Smartphone Samsung Galaxy A23 128GB Branco 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP",Null,"R$ 1.549,00",Null,"ou 10x de R$ 154,90 sem juros"
968,"Smartphone Motorola Moto G31 128GB Grafite 4G Octa-Core 4GB RAM 6,4” Câm. Tripla + Selfie 13MP","R$ 2.599,90","R$ 2.079,92",Null,"ou 10x de R$ 207,99 sem juros"
