145,Celular Smartphone Tcl 201 5'' 32gb 1gb Dual Quad Core Preto,359.0,"",null,"","","",Celular Smartphone Tcl 201 5'' 32gb 1gb,"","","",""
146,Smartphone Motorola Moto E32 Dual Sim 6.5 64gb 4gb Ram Rose,899.0,1.665,null,10,"89,90",sem juros,Smartphone Motorola Moto E32,"","","",""
147,LG K52 (13 Mpx) Dual SIM 64 GB green 3 GB RAM,987.0,"",2301,"","","",LG K52 (13 Mpx),LG K52 (13 Mpx) Dual SIM 64 GB green,64,green,3 GB RAM
148,Samsung Galaxy A23 128gb 4gb Ram Branco,1.249,"",917,10,"124,90",sem juros,"","","","",""
149,LG K41S 32 GB preto 3 GB RAM,889.0,"",22,10,"88,90",sem juros,"",LG K41S 32 GB preto,32,preto,3 GB RAM
150,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Vermelho",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
151,Samsung Galaxy A03 Core Dual SIM 32 GB black 2 GB RAM,679.0,1.099,4614,10,"67,90",sem juros,Samsung Galaxy A03 Core,Samsung Galaxy A03 Core Dual SIM 32 GB black,32,black,2 GB RAM
152,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Rose",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
153,Moto G82 5G Dual SIM 128 GB branco 6 GB RAM,1.899,2.999,234,10,"189,90",sem juros,Moto G82 5G,Moto G82 5G Dual SIM 128 GB branco,128,branco,6 GB RAM
154,Samsung Galaxy A03s Dual SIM 64 GB preto 4 GB RAM,809.0,"988,09",4247,"","","",Samsung Galaxy A03s,Samsung Galaxy A03s Dual SIM 64 GB preto,64,preto,4 GB RAM
155,"Smartphone Galaxy A03 Core 32gb 2gb Tela 6,5   Preto Samsung",679.0,1.099,null,10,"67,90",sem juros,"","","","",""
156,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
157,Moto G22 128 GB cosmic black 4 GB RAM,1.095,1.339,399,10,"109,50",sem juros,"",Moto G22 128 GB cosmic black,128,cosmic black,4 GB RAM
158,"Smartphone Edge 30 Tela 6,5'' 256gb 8gb Ram Grafite Motorola",2.733,3.999,null,10,"273,32",sem juros,"","","","",""
159,Soyes Xs13 Mini Smartphone 3g Android 6.0 Dual Sim,256.0,"",null,8,"32,03",sem juros,Soyes Xs13 Mini Smartphone 3g Android 6.0,"","","",""
160,Smartphone Galaxy S21 Fe 6.4'' 5g 128gb 6gb Preto Samsung,2.573,4.499,null,9,"285,89",sem juros,"","","","",""
